date,description,amount,category
2024-01-02,Swiggy food order,350,
2024-01-03,Metro recharge,200,
2024-01-05,Amazon shopping,1200,
2024-01-07,Electricity bill,800,
2024-01-10,Swiggy food order,420,
2024-01-12,Petrol pump,500,
2024-01-15,Netflix subscription,199,
2024-01-18,Medical pharmacy,350,
2024-01-20,Grocery store,650,
2024-01-22,Zomato order,280,
2024-01-25,Bus pass,150,
2024-01-28,Rent payment,8000,
2024-01-30,Gym membership,600,
2024-01-31,Coffee shop,180,
2024-02-01,Swiggy food order,390,
2024-02-03,Amazon shopping,2200,
2024-02-05,Electricity bill,750,
2024-02-08,Petrol pump,600,
2024-02-10,Netflix subscription,199,
2024-02-12,Medical pharmacy,200,
2024-02-15,Grocery store,900,
2024-02-18,Zomato order,450,
2024-02-20,Metro recharge,200,
2024-02-22,Rent payment,8000,
2024-02-23,Movie tickets,600,
2024-02-25,Amazon shopping,3500,
2024-02-26,Gym membership,600,
2024-02-27,Coffee shop,220,
2024-02-28,Restaurant dinner,980,
2024-03-01,Swiggy food order,310,
2024-03-04,Grocery store,700,
2024-03-05,Electricity bill,820,
2024-03-08,Petrol pump,550,
2024-03-10,Netflix subscription,199,
2024-03-12,Medical pharmacy,150,
2024-03-15,Rent payment,8000,
2024-03-18,Zomato order,380,
2024-03-20,Amazon shopping,1800,
2024-03-22,Metro recharge,200,
2024-03-24,Gym membership,600,
2024-03-26,Coffee shop,160,
2024-03-28,Restaurant dinner,450,
2024-03-30,Bus pass,150,
2024-04-01,Swiggy food order,410,
2024-04-03,Grocery store,850,
2024-04-04,Electricity bill,900,
2024-04-06,Petrol pump,650,
2024-04-09,Netflix subscription,199,
2024-04-11,Medical pharmacy,500,
2024-04-13,Zomato order,620,
2024-04-15,Rent payment,8000,
2024-04-16,Amazon shopping,5200,
2024-04-18,Metro recharge,200,
2024-04-19,Swiggy food order,480,
2024-04-21,Gym membership,600,
2024-04-23,Restaurant dinner,1200,
2024-04-25,Coffee shop,280,
2024-04-27,Bus pass,150,
2024-04-28,Movie tickets,800,
2024-04-30,Swiggy food order,390,
